symbol,timestamp,coin_name,message,error,opening_price,opening_price_time,closing_price,highest_price,lowest_price,highest_gain_percent,lowest_gain_percent,highest_price_time_min,lowest_price_time_min,data_points_count,analysis_period,price_data_saved
BANKUSDT,2025-04-18 11:20:01+00:00,BANK,$BANK added to Binance alpha projects,,0.04,2025-04-18T18:30:00+00:00,0.042508,0.058862,0.04,47.15,0.0,10.0,0.0,576.0,48 hours from listing (5m intervals),BANKUSDT.json
GMUSDT,2025-04-17 11:30:00+00:00,GM,$GM added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
DARKUSDT,2025-04-17 10:27:01+00:00,DARK,$DARK added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
FAIR3USDT,2025-04-14 15:15:02+00:00,FAIR3,$FAIR3 added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
PROMPTUSDT,2025-04-10 13:00:00+00:00,PROMPT,$PROMPT added to Binance alpha projects,,0.1636,2025-04-11T06:30:00+00:00,0.4732,0.625,0.1636,282.03,0.0,2010.0,0.0,576.0,48 hours from listing (5m intervals),PROMPTUSDT.json
FHEUSDT,2025-04-10 12:20:00+00:00,FHE,$FHE added to Binance alpha projects,,0.05881,2025-04-12T15:00:00+00:00,0.0561,0.10663,0.05098,81.31,-13.31,75.0,2560.0,576.0,48 hours from listing (5m intervals),FHEUSDT.json
RFCUSDT,2025-04-08 15:10:00+00:00,RFC,$RFC added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
STOUSDT,2025-04-03 08:50:00+00:00,STO,$STO added to Binance alpha projects,,0.07541,2025-04-12T14:45:00+00:00,0.10078,0.12167,0.07541,61.34,0.0,30.0,0.0,576.0,48 hours from listing (5m intervals),STOUSDT.json
SAFEUSDT,2025-04-02 10:20:00+00:00,SAFE,$SAFE added to Binance alpha projects,,1.658,2024-10-25T12:30:00+00:00,1.3774,1.6601,1.3554,0.13,-18.25,0.0,2585.0,576.0,48 hours from listing (5m intervals),SAFEUSDT.json
ZETAUSDT,2025-04-02 10:20:00+00:00,ZETA,$ZETA added to Binance alpha projects,,1.7148,2024-02-02T08:30:00+00:00,1.3818,1.814,1.3222,5.78,-22.89,375.0,2375.0,576.0,48 hours from listing (5m intervals),ZETAUSDT.json
PUMPUSDT,2025-04-01 17:05:00+00:00,PUMP,$PUMP added to Binance alpha projects,,0.09561,2025-04-12T14:30:00+00:00,0.10478,0.138,0.08338,44.34,-12.79,750.0,15.0,576.0,48 hours from listing (5m intervals),PUMPUSDT.json
MEWUSDT,2025-04-01 13:54:00+00:00,MEW,$MEW added to Binance alpha projects,,0.004423,2024-06-17T14:00:00+00:00,0.004213,0.005213,0.003947,17.86,-10.76,420.0,1745.0,576.0,48 hours from listing (5m intervals),MEWUSDT.json
BIGTIMEUSDT,2025-04-01 13:54:00+00:00,BIGTIME,$BIGTIME added to Binance alpha projects,,0.2006,2023-10-12T14:30:00+00:00,0.2128,0.3487,0.181,73.83,-9.77,180.0,775.0,576.0,48 hours from listing (5m intervals),BIGTIMEUSDT.json
ATHUSDT,2025-04-01 13:54:00+00:00,ATH,$ATH added to Binance alpha projects,,0.03183,2025-04-02T15:45:00+00:00,0.02981,0.03272,0.0275,2.8,-13.6,0.0,435.0,576.0,48 hours from listing (5m intervals),ATHUSDT.json
GRASSUSDT,2025-04-01 13:54:00+00:00,GRASS,$GRASS added to Binance alpha projects,,3.5,2024-11-08T15:30:00+00:00,3.0313,3.51,2.7843,0.29,-20.45,10.0,1395.0,576.0,48 hours from listing (5m intervals),GRASSUSDT.json
GHIBLIUSDT,2025-03-27 17:15:00+00:00,GHIBLI,$GHIBLI added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
KILOUSDT,2025-03-27 12:30:00+00:00,KILO,$KILO added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
PARTIUSDT,2025-03-25 11:10:00+00:00,PARTI,$PARTI added to Binance alpha projects,,0.4,2025-03-25T13:00:00+00:00,0.336,0.4398,0.1972,9.95,-50.7,55.0,0.0,576.0,48 hours from listing (5m intervals),PARTIUSDT.json
BUBBUSDT,2025-03-24 08:40:01+00:00,BUBB,$BUBB added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
AGONUSDT,2025-03-24 08:40:00+00:00,AGON,$AGON added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
QUQUSDT,2025-03-22 06:50:00+00:00,QUQ,$QUQ added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
TATUSDT,2025-03-22 06:50:00+00:00,TAT,$TAT added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
MUBARAKAHUSDT,2025-03-21 10:19:00+00:00,MUBARAKAH,$MUBARAKAH added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
PLUMEUSDT,2025-03-21 10:19:00+00:00,PLUME,$PLUME added to Binance alpha projects,,0.2024,2025-03-21T13:00:00+00:00,0.1895,0.204,0.176,0.79,-13.04,90.0,1350.0,576.0,48 hours from listing (5m intervals),PLUMEUSDT.json
AFTUSDT,2025-03-21 10:19:00+00:00,AFT,$AFT added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
BRUSDT,2025-03-20 12:20:00+00:00,BR,$BR added to Binance alpha projects,,0.1696,2025-03-21T12:45:00+00:00,0.1819,0.1956,0.1563,15.33,-7.84,605.0,195.0,576.0,48 hours from listing (5m intervals),BRUSDT.json
TUTUSDT,2025-03-18 06:20:00+00:00,TUT,$TUT added to Binance alpha projects,,0.04287,2025-03-20T09:00:00+00:00,0.02557,0.05,0.02488,16.63,-41.96,15.0,2850.0,576.0,48 hours from listing (5m intervals),TUTUSDT.json
MUBARAKUSDT,2025-03-15 12:15:00+00:00,MUBARAK,$MUBARAK added to Binance alpha projects,,0.0819,2025-03-17T13:45:00+00:00,0.1156,0.222,0.0819,171.06,0.0,695.0,0.0,576.0,48 hours from listing (5m intervals),MUBARAKUSDT.json
BMTUSDT,2025-03-11 11:05:00+00:00,BMT,$BMT added to Binance alpha projects,,0.1106,2025-03-17T13:30:00+00:00,0.2119,0.3224,0.1106,191.5,0.0,1545.0,0.0,576.0,48 hours from listing (5m intervals),BMTUSDT.json
AVLUSDT,2025-02-26 09:20:00+00:00,AVL,$AVL added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
VINUUSDT,2025-02-26 09:20:00+00:00,VINU,$VINU added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
PAINUSDT,2025-02-26 09:20:00+00:00,PAIN,$PAIN added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
JELLYJELLYUSDT,2025-02-26 09:20:00+00:00,JELLYJELLY,$JELLYJELLY added to Binance alpha projects,,0.02432,2025-03-26T16:00:00+00:00,0.01536,0.02748,0.01524,12.99,-37.34,0.0,2670.0,576.0,48 hours from listing (5m intervals),JELLYJELLYUSDT.json
TOKENUSDT,2025-02-21 08:15:07+00:00,TOKEN,$TOKEN added to Binance alpha projects,,0.05292,2023-11-03T15:00:00+00:00,0.03576,0.05301,0.035,0.17,-33.86,0.0,2820.0,576.0,48 hours from listing (5m intervals),TOKENUSDT.json
CPOOLUSDT,2025-02-21 08:15:02+00:00,CPOOL,$CPOOL added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
DRIFTUSDT,2025-02-21 08:15:01+00:00,DRIFT,$DRIFT added to Binance alpha projects,,0.9156,2024-11-08T15:45:00+00:00,1.7519,2.086,0.8899,127.83,-2.81,770.0,0.0,576.0,48 hours from listing (5m intervals),DRIFTUSDT.json
VVVUSDT,2025-02-21 08:15:01+00:00,VVV,$VVV added to Binance alpha projects,,10.636,2025-01-29T08:15:00+00:00,5.484,10.9,5.311,2.48,-50.07,0.0,2675.0,576.0,48 hours from listing (5m intervals),VVVUSDT.json
B3USDT,2025-02-21 08:15:01+00:00,B3,$B3 added to Binance alpha projects,,0.01213,2025-02-13T11:30:00+00:00,0.00913,0.0147,0.00894,21.19,-26.3,70.0,2700.0,576.0,48 hours from listing (5m intervals),B3USDT.json
FLUIDUSDT,2025-02-21 08:15:01+00:00,FLUID,$FLUID added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
BROCCOLIUSDT,2025-02-19 11:22:52+00:00,BROCCOLI,"$BROCCOLI, $PERRY, $BNBXBT, $SIREN added to Binance alpha projects",not currently listed on Binance futures,,,,,,,,,,,,
PERRYUSDT,2025-02-19 11:22:52+00:00,PERRY,"$BROCCOLI, $PERRY, $BNBXBT, $SIREN added to Binance alpha projects",not currently listed on Binance futures,,,,,,,,,,,,
BNBXBTUSDT,2025-02-19 11:22:52+00:00,BNBXBT,"$BROCCOLI, $PERRY, $BNBXBT, $SIREN added to Binance alpha projects",not currently listed on Binance futures,,,,,,,,,,,,
SIRENUSDT,2025-02-19 11:22:52+00:00,SIREN,"$BROCCOLI, $PERRY, $BNBXBT, $SIREN added to Binance alpha projects",,0.07532,2025-03-22T09:00:00+00:00,0.07299,0.09647,0.05931,28.08,-21.26,310.0,2815.0,576.0,48 hours from listing (5m intervals),SIRENUSDT.json
SHELLUSDT,2025-02-13 14:05:01+00:00,SHELL,$SHELL added to Binance alpha projects,,0.441,2025-02-17T17:15:00+00:00,0.4419,0.5429,0.3692,23.11,-16.28,2255.0,325.0,576.0,48 hours from listing (5m intervals),SHELLUSDT.json
GPSUSDT,2025-02-13 09:28:01+00:00,GPS,$GPS added to Binance alpha projects,,0.141,2025-02-17T17:00:00+00:00,0.1282,0.143,0.1,1.42,-29.08,340.0,85.0,576.0,48 hours from listing (5m intervals),GPSUSDT.json
KMNOUSDT,2025-02-13 09:25:02+00:00,KMNO,$KMNO added to Binance alpha projects,,0.1695,2024-12-20T19:00:00+00:00,0.16213,0.20617,0.15977,21.63,-5.74,300.0,2635.0,576.0,48 hours from listing (5m intervals),KMNOUSDT.json
VIRTUALUSDT,2025-02-13 09:22:02+00:00,VIRTUAL,$VIRTUAL added to Binance alpha projects,,1.4101,2024-12-10T12:30:00+00:00,1.9295,1.9732,1.4101,39.93,0.0,2355.0,0.0,576.0,48 hours from listing (5m intervals),VIRTUALUSDT.json
AEROUSDT,2025-02-13 09:20:01+00:00,AERO,$AERO added to Binance alpha projects,,1.8635,2024-12-04T14:15:00+00:00,1.9698,1.9755,1.7055,6.01,-8.48,2850.0,600.0,576.0,48 hours from listing (5m intervals),AEROUSDT.json
MORPHOUSDT,2025-02-13 09:17:01+00:00,MORPHO,$MORPHO added to Binance alpha projects,,1.356,2024-11-27T14:30:00+00:00,1.262,1.82,1.1744,34.22,-13.39,405.0,1545.0,576.0,48 hours from listing (5m intervals),MORPHOUSDT.json
ONDOUSDT,2025-02-13 09:15:02+00:00,ONDO,$ONDO added to Binance alpha projects,,0.226,2024-01-20T13:00:00+00:00,0.2687,0.3124,0.1714,38.23,-24.16,2185.0,50.0,576.0,48 hours from listing (5m intervals),ONDOUSDT.json
TSTUSDT,2025-02-08 11:59:02+00:00,TST,$TST added to Binance alpha projects,,0.3735,2025-02-09T13:00:00+00:00,0.2144,0.3735,0.1462,0.0,-60.86,0.0,1335.0,576.0,48 hours from listing (5m intervals),TSTUSDT.json
ALONUSDT,2025-01-24 09:27:01+00:00,ALON,$ALON added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
BIDUSDT,2025-01-23 11:10:02+00:00,BID,$BID added to Binance alpha projects,,0.13298,2025-03-20T09:30:00+00:00,0.0609,0.13298,0.05716,0.0,-57.02,0.0,2435.0,576.0,48 hours from listing (5m intervals),BIDUSDT.json
BUZZUSDT,2025-01-23 11:05:01+00:00,BUZZ,$BUZZ added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
VINEUSDT,2025-01-23 11:00:02+00:00,VINE,$VINE added to Binance alpha projects,,0.20194,2025-01-24T10:00:00+00:00,0.44946,0.4755,0.1064,135.47,-47.31,2835.0,695.0,576.0,48 hours from listing (5m intervals),VINEUSDT.json
MAXONSOLUSDT,2025-01-22 07:58:02+00:00,MAXONSOL,"$MAXONSOL, $TRISIG added to Binance alpha projects",not currently listed on Binance futures,,,,,,,,,,,,
TRISIGUSDT,2025-01-22 07:58:02+00:00,TRISIG,"$MAXONSOL, $TRISIG added to Binance alpha projects",not currently listed on Binance futures,,,,,,,,,,,,
PYTHIAUSDT,2025-01-16 09:20:01+00:00,PYTHIA,"$PYTHIA, $SEKOIA, $LLM added to Binance alpha projects",not currently listed on Binance futures,,,,,,,,,,,,
SEKOIAUSDT,2025-01-16 09:20:01+00:00,SEKOIA,"$PYTHIA, $SEKOIA, $LLM added to Binance alpha projects",not currently listed on Binance futures,,,,,,,,,,,,
LLMUSDT,2025-01-16 09:20:01+00:00,LLM,"$PYTHIA, $SEKOIA, $LLM added to Binance alpha projects",not currently listed on Binance futures,,,,,,,,,,,,
AIMONICAUSDT,2025-01-15 05:20:00+00:00,AIMONICA,"$AIMONICA, $VITA, $GRIFT added to Binance alpha projects",not currently listed on Binance futures,,,,,,,,,,,,
VITAUSDT,2025-01-15 05:20:00+00:00,VITA,"$AIMONICA, $VITA, $GRIFT added to Binance alpha projects",not currently listed on Binance futures,,,,,,,,,,,,
GRIFTUSDT,2025-01-15 05:20:00+00:00,GRIFT,"$AIMONICA, $VITA, $GRIFT added to Binance alpha projects",not currently listed on Binance futures,,,,,,,,,,,,
VADERUSDT,2025-01-09 09:48:01+00:00,VADER,$VADER added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
VERTAIUSDT,2025-01-09 09:42:01+00:00,VERTAI,$VERTAI added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
FAIUSDT,2025-01-09 09:37:00+00:00,FAI,$FAI added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
HATUSDT,2025-01-07 06:45:01+00:00,HAT,$HAT added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
AIXCBUSDT,2025-01-07 06:40:01+00:00,AIXCB,$AIXCB added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
NEURUSDT,2025-01-07 06:35:01+00:00,NEUR,$NEUR added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
FREYAUSDT,2025-01-06 08:59:00+00:00,FREYA,$FREYA added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
PIPPINUSDT,2025-01-06 08:55:01+00:00,PIPPIN,$PIPPIN added to Binance alpha projects,,0.138,2025-01-24T10:15:00+00:00,0.12657,0.1644,0.10223,19.13,-25.92,1155.0,875.0,576.0,48 hours from listing (5m intervals),PIPPINUSDT.json
OPUSUSDT,2025-01-06 08:49:01+00:00,OPUS,$OPUS added to Binance alpha projects,not currently listed on Binance futures,,,,,,,,,,,,
FLOCKUSDT,2025-01-03 09:33:00+00:00,FLOCK,$FLOCK added to Binance alpha,not currently listed on Binance futures,,,,,,,,,,,,
ELIZAUSDT,2025-01-03 09:21:01+00:00,ELIZA,$ELIZA added to Binance alpha,not currently listed on Binance futures,,,,,,,,,,,,
METAVUSDT,2025-01-03 09:14:01+00:00,METAV,$METAV added to Binance alpha,not currently listed on Binance futures,,,,,,,,,,,,
