symbol,timestamp,coin_name,message,opening_price,opening_price_time,closing_price,highest_price,lowest_price,highest_gain_percent,lowest_gain_percent,highest_price_time_min,lowest_price_time_min,data_points_count,analysis_period,price_data_saved,error
HOMEUSDT,2025-06-09 07:15:26+00:00,HOME,$HOME listed on Binance futures,0.025,2025-06-10T11:30:00+00:00,0.037312,0.042688,0.018363,70.75,-26.55,2855.0,290.0,576.0,48 hours from listing (5m intervals),HOMEUSDT.json,
SKATEUSDT,2025-06-06 05:30:09+00:00,SKATE,$SKATE listed on Binance alpha and futures,0.0756,2025-06-09T10:30:00+00:00,0.04954,0.0784,0.04746,3.7,-37.22,0.0,2195.0,576.0,48 hours from listing (5m intervals),SKATEUSDT.json,
LAUSDT,2025-06-05 06:06:31+00:00,LA,$LA listed on Binance futures,1.039,2025-06-05T09:00:00+00:00,1.188,1.794,0.988,72.67,-4.91,985.0,0.0,576.0,48 hours from listing (5m intervals),LAUSDT.json,
BOBUSDT,2025-06-04 10:47:46+00:00,BOB,$BOB listed on Binance futures,,,,,,,,,,,,,not currently listed on Binance futures
BOBUSDT,2025-06-04 10:47:46+00:00,BOB,$BOB listed on Binance futures,,,,,,,,,,,,,not currently listed on Binance futures
RESOLVUSDT,2025-06-04 07:00:07+00:00,RESOLV,$RESOLV listed on Binance alpha and futures,0.20204,2025-06-10T13:30:00+00:00,0.3138,0.412,0.17264,103.92,-14.55,1655.0,10.0,576.0,48 hours from listing (5m intervals),RESOLVUSDT.json,
PUFFERUSDT,2025-06-03 09:14:38+00:00,PUFFER,$PUFFER listed on Binance futures,0.23047,2025-06-04T08:30:00+00:00,0.1932,0.23481,0.18581,1.88,-19.38,0.0,2625.0,576.0,48 hours from listing (5m intervals),PUFFERUSDT.json,
PORT3USDT,2025-06-03 09:14:38+00:00,PORT3,$PORT3 listed on Binance futures,0.04831,2025-06-04T08:45:00+00:00,0.04617,0.05558,0.04461,15.05,-7.66,40.0,2505.0,576.0,48 hours from listing (5m intervals),PORT3USDT.json,
BDXNUSDT,2025-05-30 09:35:07+00:00,BDXN,$BDXN listed on Binance alpha and futures,0.1,2025-06-03T10:30:00+00:00,0.05405,0.10043,0.05301,0.43,-46.99,0.0,2870.0,576.0,48 hours from listing (5m intervals),BDXNUSDT.json,
HYPEUSDT,2025-05-30 08:36:42+00:00,HYPE,$HYPE listed on Binance futures,33.387,2025-05-30T10:30:00+00:00,31.848,34.348,30.724,2.88,-7.98,525.0,1420.0,576.0,48 hours from listing (5m intervals),HYPEUSDT.json,
MERLUSDT,2025-05-28 10:33:51+00:00,MERL,$MERL listed on Binance futures,0.156,2025-05-29T08:30:00+00:00,0.1137,0.156,0.10885,0.0,-30.22,0.0,2385.0,576.0,48 hours from listing (5m intervals),MERLUSDT.json,
HUMAUSDT,2025-05-26 12:30:08+00:00,HUMA,$HUMA listed on Binance futures,0.08413,2025-05-26T13:00:00+00:00,0.054779,0.0999,0.053887,18.74,-35.95,0.0,2530.0,576.0,48 hours from listing (5m intervals),HUMAUSDT.json,
SOPHUSDT,2025-05-23 12:07:30+00:00,SOPH,$SOPH listed on Binance alpha and futures,0.092,2025-05-28T13:00:00+00:00,0.053922,0.092,0.050165,0.0,-45.47,0.0,2675.0,576.0,48 hours from listing (5m intervals),SOPHUSDT.json,
SOONUSDT,2025-05-23 05:49:48+00:00,SOON,$SOON listed on Binance futures,0.4908,2025-05-23T08:30:00+00:00,0.41145,0.645,0.38827,31.42,-20.89,95.0,2180.0,576.0,48 hours from listing (5m intervals),SOONUSDT.json,
AWEUSDT,2025-05-21 07:30:12+00:00,AWE,$AWE listed on Binance futures,0.06696,2025-05-21T08:00:00+00:00,0.067366,0.07187,0.063273,7.33,-5.51,1570.0,120.0,576.0,48 hours from listing (5m intervals),AWEUSDT.json,
AGTUSDT,2025-05-20 08:14:23+00:00,AGT,$AGT listed on Binance futures,0.029571,2025-05-20T10:30:00+00:00,0.032409,0.035924,0.026961,21.48,-8.83,2280.0,2450.0,576.0,48 hours from listing (5m intervals),AGTUSDT.json,
CVCUSDT,2025-05-16 06:36:18+00:00,CVC,$CVC listed on Binance futures,0.12941,2025-05-16T08:30:00+00:00,0.12351,0.13841,0.11615,6.95,-10.25,40.0,1765.0,576.0,48 hours from listing (5m intervals),CVCUSDT.json,
ZKJUSDT,2025-05-13 07:34:30+00:00,ZKJ,$ZKJ listed on Binance futures,2.11,2025-05-13T09:30:00+00:00,2.055,2.248,2.044,6.54,-3.13,0.0,1650.0,576.0,48 hours from listing (5m intervals),ZKJUSDT.json,
SKYAIUSDT,2025-05-13 07:34:30+00:00,SKYAI,$SKYAI listed on Binance futures,0.05826,2025-05-13T09:45:00+00:00,0.07136,0.09765,0.0575,67.61,-1.3,900.0,0.0,576.0,48 hours from listing (5m intervals),SKYAIUSDT.json,
OGUSDT,2025-05-12 07:03:09+00:00,OG,$OG listed on Binance futures,5.596,2025-05-12T09:00:00+00:00,5.289,5.946,4.996,6.25,-10.72,70.0,1105.0,576.0,48 hours from listing (5m intervals),OGUSDT.json,
SXTUSDT,2025-05-08 12:30:14+00:00,SXT,$SXT listed on Binance futures,0.5355,2025-05-02T08:30:00+00:00,0.28509,0.7732,0.27578,44.39,-48.5,5.0,2830.0,576.0,48 hours from listing (5m intervals),SXTUSDT.json,
DOODUSDT,2025-05-07 11:13:17+00:00,DOOD,$DOOD listed on Binance alpha and futures,0.0085694,2025-05-09T13:30:00+00:00,0.0069573,0.0092769,0.006605,8.26,-22.92,495.0,80.0,576.0,48 hours from listing (5m intervals),DOODUSDT.json,
SYRUPUSDT,2025-05-06 14:45:08+00:00,SYRUP,"$SYRUP, $KMNO listed on Binance futures",0.218,2025-05-07T08:30:00+00:00,0.23507,0.25166,0.1949,15.44,-10.6,5.0,490.0,576.0,48 hours from listing (5m intervals),SYRUPUSDT.json,
KMNOUSDT,2025-05-06 14:45:08+00:00,KMNO,"$SYRUP, $KMNO listed on Binance futures",0.1695,2024-12-20T19:00:00+00:00,0.16213,0.20617,0.15977,21.63,-5.74,300.0,2635.0,576.0,48 hours from listing (5m intervals),KMNOUSDT.json,
B2USDT,2025-05-06 09:29:06+00:00,B2,$B2 listed on Binance futures,0.6011,2025-05-06T13:30:00+00:00,0.5968,0.6987,0.525,16.24,-12.66,170.0,1615.0,576.0,48 hours from listing (5m intervals),B2USDT.json,
MILKUSDT,2025-05-06 09:29:06+00:00,MILK,$MILK listed on Binance futures,0.11939,2025-05-06T13:45:00+00:00,0.10746,0.13473,0.09824,12.85,-17.72,520.0,1860.0,576.0,48 hours from listing (5m intervals),MILKUSDT.json,
ALPINEUSDT,2025-05-06 07:38:22+00:00,ALPINE,$ALPINE listed on Binance futures,1.137,2025-05-06T09:45:00+00:00,0.9771,1.257,0.881,10.55,-22.52,165.0,2415.0,576.0,48 hours from listing (5m intervals),ALPINEUSDT.json,
ASRUSDT,2025-05-06 07:38:22+00:00,ASR,$ASR listed on Binance futures,1.86,2025-05-06T09:30:00+00:00,1.772,2.374,1.524,27.63,-18.06,0.0,2120.0,576.0,48 hours from listing (5m intervals),ASRUSDT.json,
OBOLUSDT,2025-05-03 08:52:55+00:00,OBOL,$OBOL listed on Binance alpha and futures,0.422,2025-05-07T10:30:00+00:00,0.26563,0.44,0.23796,4.27,-43.61,0.0,2110.0,576.0,48 hours from listing (5m intervals),OBOLUSDT.json,
AIOTUSDT,2025-04-30 10:48:01+00:00,AIOT,$AIOT listed on Binance futures,0.18151,2025-04-30T12:30:00+00:00,0.26125,0.29319,0.18151,61.53,0.0,65.0,0.0,576.0,48 hours from listing (5m intervals),AIOTUSDT.json,
DOLOUSDT,2025-04-30 10:48:01+00:00,DOLO,$DOLO listed on Binance futures,0.048,2025-05-01T03:00:00+00:00,0.062727,0.066779,0.048,39.12,0.0,2720.0,0.0,576.0,48 hours from listing (5m intervals),DOLOUSDT.json,
HAEDALUSDT,2025-04-30 10:48:01+00:00,HAEDAL,$HAEDAL listed on Binance futures,0.106,2025-05-01T03:15:00+00:00,0.191226,0.2088,0.103367,96.98,-2.48,2665.0,0.0,576.0,48 hours from listing (5m intervals),HAEDALUSDT.json,
PUNDIXLISTEDUSDT,2025-04-30 08:30:33+00:00,PUNDIXLISTED,$PUNDIXlisted on Binance futures,,,,,,,,,,,,,not currently listed on Binance futures
CTKUSDT,2025-04-30 08:30:33+00:00,CTK,$CTK listed on Binance futures,0.5149,2025-04-30T10:15:00+00:00,0.4405,0.5377,0.41,4.43,-20.37,10.0,1280.0,576.0,48 hours from listing (5m intervals),CTKUSDT.json,
SIGNUSDT,2025-04-28 10:30:20+00:00,SIGN,$SIGN listed on Binance futures,0.0748,2025-04-28T11:00:00+00:00,0.10018,0.13291,0.0665,77.69,-11.1,1165.0,1155.0,576.0,48 hours from listing (5m intervals),SIGNUSDT.json,
JSTUSDT,2025-04-28 07:29:49+00:00,JST,$JST listed on Binance futures,0.035101,2025-04-28T09:30:00+00:00,0.037541,0.041654,0.035101,18.67,0.0,0.0,0.0,576.0,48 hours from listing (5m intervals),JSTUSDT.json,
JSTUSDT,2025-04-28 07:29:49+00:00,JST,$JST listed on Binance futures,0.035101,2025-04-28T09:30:00+00:00,0.037541,0.041654,0.035101,18.67,0.0,0.0,0.0,576.0,48 hours from listing (5m intervals),JSTUSDT.json,
MEMEFIUSDT,2025-04-25 05:02:56+00:00,MEMEFI,$MEMEFI listed on Binance futures,0.001758,2025-04-25T07:15:00+00:00,0.002861,0.003149,0.001752,79.12,-0.34,2030.0,50.0,576.0,48 hours from listing (5m intervals),MEMEFIUSDT.json,
HYPERUSDT,2025-04-22 12:30:12+00:00,HYPER,$HYPER listed on Binance futures,0.256,2025-04-22T13:00:00+00:00,0.2048,0.3666,0.198,43.2,-22.66,735.0,2625.0,576.0,48 hours from listing (5m intervals),HYPERUSDT.json,
DEEPUSDT,2025-04-22 06:51:31+00:00,DEEP,$DEEP listed on Binance futures,0.12645,2025-04-22T08:30:00+00:00,0.16098,0.22532,0.10763,78.19,-14.88,1030.0,305.0,576.0,48 hours from listing (5m intervals),DEEPUSDT.json,
BANKUSDT,2025-04-18 17:03:48+00:00,BANK,$BANK listed on Binance futures,0.04,2025-04-18T18:30:00+00:00,0.042508,0.058862,0.04,47.15,0.0,10.0,0.0,576.0,48 hours from listing (5m intervals),BANKUSDT.json,
AERGOUSDT,2025-04-16 07:47:40+00:00,AERGO,$AERGO listed on Binance futures,0.328,2025-04-16T11:00:00+00:00,0.23546,0.43,0.11573,31.1,-64.72,0.0,800.0,576.0,48 hours from listing (5m intervals),AERGOUSDT.json,
INITUSDT,2025-04-16 03:16:04+00:00,INIT,$INIT listed on Binance futures,0.728,2025-04-16T06:30:00+00:00,0.758,0.8075,0.5847,10.92,-19.68,2000.0,0.0,576.0,48 hours from listing (5m intervals),INITUSDT.json,
INITUSDT,2025-04-16 03:16:04+00:00,INIT,$INIT listed on Binance futures,0.728,2025-04-16T06:30:00+00:00,0.758,0.8075,0.5847,10.92,-19.68,2000.0,0.0,576.0,48 hours from listing (5m intervals),INITUSDT.json,
WCTUSDT,2025-04-15 10:30:10+00:00,WCT,$WCT listed on Binance futures,0.342,2025-04-15T11:00:00+00:00,0.3869,0.5333,0.2756,55.94,-19.42,1285.0,730.0,576.0,48 hours from listing (5m intervals),WCTUSDT.json,
WCTUSDT,2025-04-15 10:30:10+00:00,WCT,$WCT listed on Binance futures,0.342,2025-04-15T11:00:00+00:00,0.3869,0.5333,0.2756,55.94,-19.42,1285.0,730.0,576.0,48 hours from listing (5m intervals),WCTUSDT.json,
KERNELUSDT,2025-04-14 11:30:18+00:00,KERNEL,$KERNEL listed on Binance futures,0.397,2025-04-14T12:00:00+00:00,0.2575,0.41,0.2222,3.27,-44.03,20.0,2000.0,576.0,48 hours from listing (5m intervals),KERNELUSDT.json,
PUMPUSDT,2025-04-12 12:55:12+00:00,PUMP,"$PUMP, $STO, $FHE listed on Binance futures",0.09561,2025-04-12T14:30:00+00:00,0.10478,0.138,0.08338,44.34,-12.79,750.0,15.0,576.0,48 hours from listing (5m intervals),PUMPUSDT.json,
STOUSDT,2025-04-12 12:55:12+00:00,STO,"$PUMP, $STO, $FHE listed on Binance futures",0.07541,2025-04-12T14:45:00+00:00,0.10078,0.12167,0.07541,61.34,0.0,30.0,0.0,576.0,48 hours from listing (5m intervals),STOUSDT.json,
FHEUSDT,2025-04-12 12:55:12+00:00,FHE,"$PUMP, $STO, $FHE listed on Binance futures",0.05881,2025-04-12T15:00:00+00:00,0.0561,0.10663,0.05098,81.31,-13.31,75.0,2560.0,576.0,48 hours from listing (5m intervals),FHEUSDT.json,
PUMPUSDT,2025-04-12 12:55:12+00:00,PUMP,"$PUMP, $STO, $FHE listed on Binance futures",0.09561,2025-04-12T14:30:00+00:00,0.10478,0.138,0.08338,44.34,-12.79,750.0,15.0,576.0,48 hours from listing (5m intervals),PUMPUSDT.json,
STOUSDT,2025-04-12 12:55:12+00:00,STO,"$PUMP, $STO, $FHE listed on Binance futures",0.07541,2025-04-12T14:45:00+00:00,0.10078,0.12167,0.07541,61.34,0.0,30.0,0.0,576.0,48 hours from listing (5m intervals),STOUSDT.json,
FHEUSDT,2025-04-12 12:55:12+00:00,FHE,"$PUMP, $STO, $FHE listed on Binance futures",0.05881,2025-04-12T15:00:00+00:00,0.0561,0.10663,0.05098,81.31,-13.31,75.0,2560.0,576.0,48 hours from listing (5m intervals),FHEUSDT.json,
XCNUSDT,2025-04-11 13:15:15+00:00,XCN,$XCN listed on Binance futures,0.02339,2025-04-11T15:30:00+00:00,0.02043,0.02688,0.01774,14.92,-24.16,50.0,360.0,576.0,48 hours from listing (5m intervals),XCNUSDT.json,
PROMPTUSDT,2025-04-11 04:35:18+00:00,PROMPT,$PROMPT listed on Binance futures,0.1636,2025-04-11T06:30:00+00:00,0.4732,0.625,0.1636,282.03,0.0,2010.0,0.0,576.0,48 hours from listing (5m intervals),PROMPTUSDT.json,
FORTHUSDT,2025-04-08 06:21:10+00:00,FORTH,$FORTH listed on Binance futures,2.482,2025-04-08T08:30:00+00:00,3.087,4.16,2.285,67.61,-7.94,460.0,70.0,576.0,48 hours from listing (5m intervals),FORTHUSDT.json,
BABYUSDT,2025-04-05 10:24:55+00:00,BABY,$BABY listed on Binance futures,0.0728,2025-04-05T13:30:00+00:00,0.07079,0.07549,0.05602,3.7,-23.05,2510.0,290.0,576.0,48 hours from listing (5m intervals),BABYUSDT.json,
ATHUSDT,2025-04-02 13:38:08+00:00,ATH,$ATH listed on Binance futures,0.03183,2025-04-02T15:45:00+00:00,0.02981,0.03272,0.0275,2.8,-13.6,0.0,435.0,576.0,48 hours from listing (5m intervals),ATHUSDT.json,
GUNUSDT,2025-03-31 12:30:38+00:00,GUN,$GUN listed on Binance futures,0.1145,2025-03-31T13:00:00+00:00,0.053,0.116,0.0522,1.31,-54.41,65.0,2875.0,576.0,48 hours from listing (5m intervals),GUNUSDT.json,
FUNUSDT,2025-03-31 07:02:10+00:00,FUN,"$FUN, $MLN listed on Binance futures",0.005001,2025-03-31T08:30:00+00:00,0.004087,0.005259,0.003808,5.16,-23.86,990.0,2690.0,576.0,48 hours from listing (5m intervals),FUNUSDT.json,
MLNUSDT,2025-03-31 07:02:10+00:00,MLN,"$FUN, $MLN listed on Binance futures",12.31,2025-03-31T08:45:00+00:00,11.44,15.61,10.58,26.81,-14.05,60.0,1990.0,576.0,48 hours from listing (5m intervals),MLNUSDT.json,
FUNUSDT,2025-03-31 07:02:10+00:00,FUN,"$FUN, $MLN listed on Binance futures",0.005001,2025-03-31T08:30:00+00:00,0.004087,0.005259,0.003808,5.16,-23.86,990.0,2690.0,576.0,48 hours from listing (5m intervals),FUNUSDT.json,
MLNUSDT,2025-03-31 07:02:10+00:00,MLN,"$FUN, $MLN listed on Binance futures",12.31,2025-03-31T08:45:00+00:00,11.44,15.61,10.58,26.81,-14.05,60.0,1990.0,576.0,48 hours from listing (5m intervals),MLNUSDT.json,
WALUSDT,2025-03-27 13:59:45+00:00,WAL,$WAL listed on Binance futures,0.491,2025-03-27T15:30:00+00:00,0.4085,0.5998,0.4055,22.16,-17.41,255.0,2835.0,576.0,48 hours from listing (5m intervals),WALUSDT.json,
PAXGUSDT,2025-03-27 07:07:26+00:00,PAXG,$PAXG listed on Binance futures,2988.0,2025-03-27T10:30:00+00:00,3101.31,3129.03,2988.0,4.72,0.0,0.0,0.0,576.0,48 hours from listing (5m intervals),PAXGUSDT.json,
JELLYJELLYUSDT,2025-03-26 15:16:12+00:00,JELLYJELLY,"$JELLYJELLY, $MAVIA listed on Binance futures",0.02432,2025-03-26T16:00:00+00:00,0.01536,0.02748,0.01524,12.99,-37.34,0.0,2670.0,576.0,48 hours from listing (5m intervals),JELLYJELLYUSDT.json,
MAVIAUSDT,2025-03-26 15:16:12+00:00,MAVIA,"$JELLYJELLY, $MAVIA listed on Binance futures",0.4179,2025-03-26T17:00:00+00:00,0.4277,0.52,0.3982,24.43,-4.71,90.0,1870.0,576.0,48 hours from listing (5m intervals),MAVIAUSDT.json,
JELLYJELLYUSDT,2025-03-26 15:16:12+00:00,JELLYJELLY,"$JELLYJELLY, $MAVIA listed on Binance futures",0.02432,2025-03-26T16:00:00+00:00,0.01536,0.02748,0.01524,12.99,-37.34,0.0,2670.0,576.0,48 hours from listing (5m intervals),JELLYJELLYUSDT.json,
MAVIAUSDT,2025-03-26 15:16:12+00:00,MAVIA,"$JELLYJELLY, $MAVIA listed on Binance futures",0.4179,2025-03-26T17:00:00+00:00,0.4277,0.52,0.3982,24.43,-4.71,90.0,1870.0,576.0,48 hours from listing (5m intervals),MAVIAUSDT.json,
PARTIUSDT,2025-03-25 12:30:08+00:00,PARTI,$PARTI listed on Binance futures,0.4,2025-03-25T13:00:00+00:00,0.336,0.4398,0.1972,9.95,-50.7,55.0,0.0,576.0,48 hours from listing (5m intervals),PARTIUSDT.json,
NILUSDT,2025-03-24 12:30:23+00:00,NIL,$NIL listed on Binance futures,0.772,2025-03-24T13:00:00+00:00,0.6397,0.9862,0.6,27.75,-22.28,0.0,1785.0,576.0,48 hours from listing (5m intervals),NILUSDT.json,
BRUSDT,2025-03-21 10:46:17+00:00,BR,"$BR, $PLUME listed on Binance futures",0.1696,2025-03-21T12:45:00+00:00,0.1819,0.1956,0.1563,15.33,-7.84,605.0,195.0,576.0,48 hours from listing (5m intervals),BRUSDT.json,
PLUMEUSDT,2025-03-21 10:46:17+00:00,PLUME,"$BR, $PLUME listed on Binance futures",0.2024,2025-03-21T13:00:00+00:00,0.1895,0.204,0.176,0.79,-13.04,90.0,1350.0,576.0,48 hours from listing (5m intervals),PLUMEUSDT.json,
BRUSDT,2025-03-21 10:46:17+00:00,BR,"$BR, $PLUME listed on Binance futures",0.1696,2025-03-21T12:45:00+00:00,0.1819,0.1956,0.1563,15.33,-7.84,605.0,195.0,576.0,48 hours from listing (5m intervals),BRUSDT.json,
PLUMEUSDT,2025-03-21 10:46:17+00:00,PLUME,"$BR, $PLUME listed on Binance futures",0.2024,2025-03-21T13:00:00+00:00,0.1895,0.204,0.176,0.79,-13.04,90.0,1350.0,576.0,48 hours from listing (5m intervals),PLUMEUSDT.json,
XUSDUSDT,2025-03-19 07:30:16+00:00,XUSD,"$XUSD, $FORM listed on Binance futures",,,,,,,,,,,,,not currently listed on Binance futures
FORMUSDT,2025-03-19 07:30:16+00:00,FORM,"$XUSD, $FORM listed on Binance futures",2.0,2025-03-19T08:00:00+00:00,1.7809,2.035,1.358,1.75,-32.1,10.0,0.0,576.0,48 hours from listing (5m intervals),FORMUSDT.json,
BMTUSDT,2025-03-17 11:31:04+00:00,BMT,"$BMT, $MUBARAK listed on Binance futures",0.1106,2025-03-17T13:30:00+00:00,0.2119,0.3224,0.1106,191.5,0.0,1545.0,0.0,576.0,48 hours from listing (5m intervals),BMTUSDT.json,
MUBARAKUSDT,2025-03-17 11:31:04+00:00,MUBARAK,"$BMT, $MUBARAK listed on Binance futures",0.0819,2025-03-17T13:45:00+00:00,0.1156,0.222,0.0819,171.06,0.0,695.0,0.0,576.0,48 hours from listing (5m intervals),MUBARAKUSDT.json,
BMTUSDT,2025-03-17 11:31:04+00:00,BMT,"$BMT, $MUBARAK listed on Binance futures",0.1106,2025-03-17T13:30:00+00:00,0.2119,0.3224,0.1106,191.5,0.0,1545.0,0.0,576.0,48 hours from listing (5m intervals),BMTUSDT.json,
MUBARAKUSDT,2025-03-17 11:31:04+00:00,MUBARAK,"$BMT, $MUBARAK listed on Binance futures",0.0819,2025-03-17T13:45:00+00:00,0.1156,0.222,0.0819,171.06,0.0,695.0,0.0,576.0,48 hours from listing (5m intervals),MUBARAKUSDT.json,
EPICUSDT,2025-03-13 07:30:17+00:00,EPIC,$EPIC listed on Binance futures,1.6773,2025-03-13T08:00:00+00:00,1.7641,1.9447,1.4354,15.94,-14.42,2255.0,15.0,576.0,48 hours from listing (5m intervals),EPICUSDT.json,
VICUSDT,2025-03-12 14:59:29+00:00,VIC,$VIC listed on Binance futures,0.3342,2025-03-12T17:00:00+00:00,0.2926,0.429,0.2775,28.37,-16.97,50.0,1390.0,576.0,48 hours from listing (5m intervals),VICUSDT.json,
REDUSDT,2025-03-06 15:30:18+00:00,RED,$RED listed on Binance futures,0.8413,2025-03-06T16:00:00+00:00,0.5859,0.93,0.5669,10.54,-32.62,0.0,720.0,576.0,48 hours from listing (5m intervals),REDUSDT.json,
KAITOUSDT,2025-02-20 12:30:29+00:00,KAITO,$KAITO listed on Binance futures,1.494,2025-02-20T13:00:00+00:00,1.664,2.131,0.8728,42.64,-41.58,1575.0,100.0,576.0,48 hours from listing (5m intervals),KAITOUSDT.json,
GPSUSDT,2025-02-17 15:09:00+00:00,GPS,"$GPS, $SHELL listed on Binance futures",0.141,2025-02-17T17:00:00+00:00,0.1282,0.143,0.1,1.42,-29.08,340.0,85.0,576.0,48 hours from listing (5m intervals),GPSUSDT.json,
SHELLUSDT,2025-02-17 15:09:00+00:00,SHELL,"$GPS, $SHELL listed on Binance futures",0.441,2025-02-17T17:15:00+00:00,0.4419,0.5429,0.3692,23.11,-16.28,2255.0,325.0,576.0,48 hours from listing (5m intervals),SHELLUSDT.json,
GPSUSDT,2025-02-17 15:09:00+00:00,GPS,"$GPS, $SHELL listed on Binance futures",0.141,2025-02-17T17:00:00+00:00,0.1282,0.143,0.1,1.42,-29.08,340.0,85.0,576.0,48 hours from listing (5m intervals),GPSUSDT.json,
SHELLUSDT,2025-02-17 15:09:00+00:00,SHELL,"$GPS, $SHELL listed on Binance futures",0.441,2025-02-17T17:15:00+00:00,0.4419,0.5429,0.3692,23.11,-16.28,2255.0,325.0,576.0,48 hours from listing (5m intervals),SHELLUSDT.json,
GPSUSDT,2025-02-17 15:09:00+00:00,GPS,"$GPS, $SHELL listed on Binance futures",0.141,2025-02-17T17:00:00+00:00,0.1282,0.143,0.1,1.42,-29.08,340.0,85.0,576.0,48 hours from listing (5m intervals),GPSUSDT.json,
